name,mat,inn,overs,mdns,runs,wkts,bbi,avg,econ,sr
VR Aaron,10,10,36.4,1,299,16,3/16,18.68,8.15,13.7
MA Agarwal,8,0,0,0,0,0,0,0,0,0
AN Ahmed,4,4,14.2,0,113,3,1/18,37.66,7.88,28.6
CJ Anderson,12,9,18.0,0,184,4,2/18,46.00,10.22,27.0
S Anirudha,1,0,0,0,0,0,0,0,0,0
Ankit Sharma,3,2,8.0,0,43,4,2/20,10.75,5.37,12.0
R Ashwin,16,16,59.5,1,437,16,3/30,27.31,7.30,22.4
P Awana,7,7,23.3,1,245,7,2/15,35.00,10.42,20.1
S Badree,4,4,14.0,0,97,2,1/19,48.50,6.92,42.0
GJ Bailey,17,0,0,0,0,0,0,0,0,0
L Balaji,9,9,34.0,0,299,12,4/13,24.91,8.79,17.0
R Bhatia,12,12,38.0,0,283,12,3/23,23.58,7.44,19.0
STR Binny,13,8,9.0,0,64,3,1/1,21.33,7.11,18.0
MS Bisla,1,0,0,0,0,0,0,0,0,0
DJ Bravo,1,0,0,0,0,0,0,0,0,0
JJ Bumrah,11,11,39.4,1,301,5,2/22,60.20,7.58,47.6
YS Chahal,14,14,55.0,1,386,12,2/17,32.16,7.01,27.5
UBT Chand,1,0,0,0,0,0,0,0,0,0
PP Chawla,11,11,39.3,0,303,14,3/19,21.64,7.67,16.9
KK Cooper,5,5,18.0,0,134,4,2/38,33.50,7.44,27.0
NM Coulter-Nile,2,1,4.0,0,27,2,2/27,13.50,6.75,12.0
PJ Cummins,1,1,4.0,1,29,1,1/29,29.00,7.25,24.0
BCJ Cutting,1,1,4.0,0,31,1,1/31,31.00,7.75,24.0
Q de Kock,7,0,0,0,0,0,0,0,0,0
M de Lange,1,1,4.0,0,32,2,2/32,16.00,8.00,12.0
AB de Villiers,14,0,0,0,0,0,0,0,0,0
R Dhawan,13,13,47.2,0,365,13,2/14,28.07,7.71,21.8
S Dhawan,14,0,0,0,0,0,0,0,0,0
MS Dhoni,16,0,0,0,0,0,0,0,0,0
AB Dinda,9,9,31.0,0,270,5,1/14,54.00,8.70,37.2
JP Duminy,14,11,33.0,0,240,3,2/27,80.00,7.27,66.0
BR Dunk,3,0,0,0,0,0,0,0,0,0
F du Plessis,15,0,0,0,0,0,0,0,0,0
JP Faulkner,13,13,43.0,0,419,11,3/11,38.09,9.74,23.4
AJ Finch,13,0,0,0,0,0,0,0,0,0
G Gambhir,16,0,0,0,0,0,0,0,0,0
CM Gautam,9,0,0,0,0,0,0,0,0,0
CH Gayle,9,0,0,0,0,0,0,0,0,0
S Gopal,4,4,14.0,0,113,6,2/25,18.83,8.07,14.0
Harbhajan Singh,14,14,55.0,1,356,14,2/13,25.42,6.47,23.5
JW Hastings,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0
BE Hendricks,3,3,12.0,0,126,4,3/36,31.50,10.50,18.0
MC Henriques,4,4,10.0,0,96,4,2/26,24.00,9.60,15.0
BW Hilfenhaus,8,8,28.0,0,246,8,2/32,30.75,8.78,21.0
BJ Hodge,4,0,0,0,0,0,0,0,0,0
JO Holder,1,1,3.0,0,35,1,1/35,35.00,11.66,18.0
DJ Hussey,5,1,2.5,0,38,2,2/38,19.00,13.41,8.5
MEK Hussey,9,0,0,0,0,0,0,0,0,0
Imran Tahir,6,6,20.5,0,171,9,3/22,19.00,8.20,13.8
Iqbal Abdulla,1,1,2.0,0,17,0,0,0,8.50,0
RA Jadeja,16,16,54.2,0,443,19,4/12,23.31,8.15,17.1
KM Jadhav,10,0,0,0,0,0,0,0,0,0
SB Jakati,1,1,3.4,0,41,0,0,0,11.18,0
MG Johnson,14,14,53.3,0,444,17,2/19,26.11,8.29,18.8
JH Kallis,8,8,22.0,0,186,4,1/15,46.50,8.45,33.0
Karanveer Singh,5,5,20.0,0,164,11,4/54,14.90,8.20,10.9
KD Karthik,14,0,0,0,0,0,0,0,0,0
M Kartik,2,2,8.0,0,91,1,1/51,91.00,11.37,48.0
S Kaul,5,5,13.0,0,126,2,1/5,63.00,9.69,39.0
Z Khan,6,6,22.2,0,146,5,2/21,29.20,6.53,26.8
V Kohli,14,0,0,0,0,0,0,0,0,0
DS Kulkarni,8,8,27.0,1,221,6,2/23,36.83,8.18,27.0
B Kumar,14,14,53.1,0,354,20,4/14,17.70,6.65,15.9
P Kumar,3,3,12.0,0,78,3,2/31,26.00,6.50,24.0
CA Lynn,2,0,0,0,0,0,0,0,0,0
BB McCullum,14,0,0,0,0,0,0,0,0,0
NJ Maddinson,2,0,0,0,0,0,0,0,0,0
VS Malik,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0
SL Malinga,10,10,39.1,0,253,16,4/23,15.81,6.45,14.6
Mandeep Singh,3,0,0,0,0,0,0,0,0,0
M Manhas,12,0,0,0,0,0,0,0,0,0
SE Marsh,2,0,0,0,0,0,0,0,0,0
GJ Maxwell,16,7,11.0,0,132,1,1/21,132.00,12.00,66.0
DA Miller,16,0,0,0,0,0,0,0,0,0
A Mishra,10,10,37.3,0,340,7,2/23,48.57,9.06,32.1
Mohammed Shami,12,12,44.0,0,369,7,1/22,52.71,8.38,37.7
JA Morkel,7,6,16.0,0,126,4,1/18,31.50,7.87,24.0
M Morkel,12,12,48.0,1,367,12,2/20,30.58,7.64,24.0
M Muralitharan,5,5,16.0,0,124,3,2/25,41.33,7.75,32.0
S Nadeem,11,11,38.0,0,311,8,2/35,38.87,8.18,28.5
KK Nair,11,0,0,0,0,0,0,0,0,0
SP Narine,16,16,64.0,0,407,21,4/20,19.38,6.35,18.2
AM Nayar,5,0,0,0,0,0,0,0,0,0
JDS Neesham,4,4,9.0,0,91,1,1/29,91.00,10.11,54.0
P Negi,2,2,7.0,0,75,0,0,0,10.71,0
A Nehra,4,4,15.0,0,142,8,3/33,17.75,9.46,11.2
NV Ojha,11,0,0,0,0,0,0,0,0,0
PP Ojha,12,12,46.0,1,380,4,2/30,95.00,8.26,69.0
IC Pandey,13,12,42.0,2,318,6,2/23,53.00,7.57,42.0
MK Pandey,16,0,0,0,0,0,0,0,0,0
WD Parnell,8,8,30.1,0,223,6,2/21,37.16,7.39,30.1
Parvez Rasool,3,3,9.0,0,83,1,1/26,83.00,9.22,54.0
AR Patel,17,17,66.0,2,405,17,3/24,23.82,6.13,23.2
HV Patel,3,3,11.0,0,113,4,2/56,28.25,10.27,16.5
PA Patel,12,0,0,0,0,0,0,0,0,0
