batsman,bowler,wicket
DA Warner,A Mishra,2
SE Marsh,Z Khan,2
KA Pollard,RA Jadeja,2
KD Karthik,RA Jadeja,2
M Vijay,MG Johnson,2
S Badrinath,MG Johnson,2
SS Iyer,SL Malinga,2
V Sehwag,JP Faulkner,2
KD Karthik,SP Narine,2
JH Kallis,Harbhajan Singh,2
SP Narine,MG Johnson,2
PA Patel,MM Sharma,2
EJG Morgan,MR Marsh,2
KD Karthik,Yuvraj Singh,2
CH Gayle,UT Yadav,2
AB de Villiers,SP Narine,2
G Gambhir,YS Chahal,2
CH Gayle,SP Narine,2
GH Vihari,SL Malinga,2
KD Karthik,KV Sharma,2
AJ Finch,L Balaji,2
UBT Chand,MM Sharma,2
AP Tare,KK Cooper,2
KA Pollard,KK Cooper,2
SR Watson,PP Ojha,2
BB Samantray,JP Faulkner,2
AP Tare,Sandeep Sharma,2
MK Pandey,S Nadeem,2
AP Tare,JA Morkel,2
RG Sharma,CH Morris,2
MG Johnson,DJ Bravo,2
SL Malinga,DJ Bravo,2
NLTC Perera,SR Watson,2
R Dravid,I Sharma,2
SR Watson,Harbhajan Singh,2
DR Smith,STR Binny,2
KD Karthik,CH Morris,2
AT Rayudu,DJ Bravo,2
AP Tare,Shakib Al Hasan,2
AR Patel,R Ashwin,2
DA Warner,MJ McClenaghan,2
SV Samson,B Kumar,2
SR Watson,I Sharma,2
MA Agarwal,M Morkel,2
STR Binny,MG Johnson,2
V Sehwag,DS Kulkarni,2
DR Smith,S Nadeem,2
M Vijay,MM Sharma,2
G Gambhir,MA Starc,2
YK Pathan,VR Aaron,2
V Kohli,SP Narine,2
Q de Kock,KV Sharma,2
Harbhajan Singh,MM Sharma,2
Yuvraj Singh,KW Richardson,2
SR Watson,YS Chahal,2
DA Miller,PP Chawla,2
GJ Bailey,PP Chawla,2
V Sehwag,PP Chawla,2
MG Johnson,SP Narine,2
MK Pandey,Sandeep Sharma,2
G Gambhir,Sandeep Sharma,2
KD Karthik,SL Malinga,2
PA Patel,Sandeep Sharma,2
V Sehwag,YS Chahal,2
AM Rahane,R Vinay Kumar,2
MK Pandey,PV Tambe,2
SA Yadav,JP Faulkner,2
DR Smith,Shakib Al Hasan,2
AT Rayudu,Sandeep Sharma,2
NV Ojha,VR Aaron,2
CH Gayle,KV Sharma,2
SV Samson,SP Narine,2
M Vijay,RA Jadeja,2
AB de Villiers,JJ Bumrah,2
DR Smith,Sandeep Sharma,2
F du Plessis,MG Johnson,2
SR Watson,MC Henriques,2
JP Faulkner,B Kumar,2
LMP Simmons,R Ashwin,2
F du Plessis,SL Malinga,2
AM Rahane,YS Chahal,2
SPD Smith,MM Sharma,2
STR Binny,RA Jadeja,2
R Bhatia,MM Sharma,2
PA Patel,Mohammed Shami,2
S Dhawan,R Dhawan,2
MC Henriques,Sandeep Sharma,2
IK Pathan,R Dhawan,2
STR Binny,Imran Tahir,2
KL Rahul,PP Chawla,2
DJG Sammy,Shakib Al Hasan,2
G Gambhir,DW Steyn,2
MK Pandey,KV Sharma,2
AJ Finch,Rashid Khan,2
RR Pant,A Zampa,2
AM Rahane,Z Khan,2
LMP Simmons,Ankit Sharma,2
KD Karthik,BE Hendricks,2
M Vohra,Imran Tahir,2
V Sehwag,JP Duminy,2
GJ Maxwell,Imran Tahir,2
DA Miller,JP Duminy,2
WP Saha,Mohammed Shami,2
GJ Bailey,Imran Tahir,2
Yuvraj Singh,Parvez Rasool,2
DR Smith,PJ Cummins,2
BB McCullum,SP Narine,2
MK Pandey,AB Dinda,2
DR Smith,KV Sharma,2
RR Rossouw,A Nehra,2
AB de Villiers,A Nehra,2
DA Warner,M Morkel,2
AT Rayudu,JP Faulkner,2
MK Pandey,AR Patel,2
YK Pathan,Karanveer Singh,2
V Sehwag,UT Yadav,2
M Vohra,M Morkel,2
LMP Simmons,RA Jadeja,2
P Kumar,MM Sharma,2
M Vohra,IC Pandey,2
GJ Bailey,A Nehra,2
WP Saha,MM Sharma,2
Shakib Al Hasan,AR Patel,2
MA Agarwal,A Nehra,2
JP Duminy,IC Pandey,2
SPD Smith,MG Johnson,2
DA Miller,DS Kulkarni,2
KV Sharma,DJ Bravo,2
GJ Maxwell,J Suchith,2
RG Sharma,Sandeep Sharma,2
PA Patel,DS Kulkarni,2
DJ Hooda,SL Malinga,2
RA Jadeja,GB Hogg,2
P Negi,GB Hogg,2
S Dhawan,DS Kulkarni,2
RG Sharma,A Nehra,2
BB McCullum,Harbhajan Singh,2
KV Sharma,NM Coulter-Nile,2
RV Uthappa,Sandeep Sharma,2
Yuvraj Singh,PP Chawla,2
AM Rahane,MG Johnson,2
JP Faulkner,Sandeep Sharma,2
NV Ojha,UT Yadav,2
G Gambhir,P Kumar,2
HV Patel,A Nehra,2
D Wiese,DJ Bravo,2
PA Patel,AD Mathews,2
RG Sharma,NM Coulter-Nile,2
SV Samson,YS Chahal,2
SS Iyer,HV Patel,2
S Dhawan,MJ McClenaghan,2
NV Ojha,J Suchith,2
KL Rahul,MJ McClenaghan,2
M Vijay,R Ashwin,2
KM Jadhav,HV Patel,2
DA Warner,AR Patel,2
DA Miller,KV Sharma,2
CH Gayle,TG Southee,2
SK Raina,AD Russell,2
DJ Bravo,PP Chawla,2
PA Patel,SN Thakur,2
MS Dhoni,A Ashish Reddy,2
DJ Bravo,MA Starc,2
G Gambhir,KV Sharma,2
CH Gayle,AR Patel,2
DA Warner,SR Watson,2
KK Nair,MC Henriques,2
GJ Maxwell,SP Narine,2
WP Saha,SP Narine,2
PP Chawla,Anureet Singh,2
BB McCullum,CH Morris,2
WP Saha,MC Henriques,2
BB McCullum,Z Khan,2
RV Uthappa,Harbhajan Singh,2
Gurkeerat Singh,R Ashwin,2
AR Patel,DJ Bravo,2
KK Nair,UT Yadav,2
CH Morris,UT Yadav,2
CA Lynn,JJ Bumrah,2
PA Patel,UT Yadav,2
Q de Kock,YS Chahal,2
DR Smith,S Aravind,2
MS Dhoni,HV Patel,2
Q de Kock,AD Russell,2
SS Iyer,AD Russell,2
SR Watson,Mustafizur Rahman,2
S Dhawan,M Morkel,2
AM Rahane,Sandeep Sharma,2
HH Pandya,Mustafizur Rahman,2
DJ Bravo,BB Sran,2
RA Jadeja,Mustafizur Rahman,2
S Dhawan,AB Dinda,2
K Goel,MS Gony,2
UT Yadav,Z Khan,2
DJ Hooda,DJ Bravo,2
SK Warne,MF Maharoof,2
JC Buttler,A Nehra,2
WP Saha,YS Chahal,2
KD Karthik,CJ Jordan,2
P Kumar,CJ Jordan,2
DS Kulkarni,CJ Jordan,2
Q de Kock,KH Pandya,2
SV Samson,A Zampa,2
RV Uthappa,BB Sran,2
DJ Bravo,SR Watson,2
Yuvraj Singh,JO Holder,2
M Kaif,S Sreesanth,2
SC Ganguly,SM Pollock,2
Mohammad Hafeez,ST Jayasuriya,2
AS Yadav,DW Steyn,2
R Dravid,VRV Singh,2
DA Warner,A Choudhary,1
S Dhawan,STR Binny,1
MC Henriques,YS Chahal,1
Yuvraj Singh,TS Mills,1
Mandeep Singh,Rashid Khan,1
CH Gayle,DJ Hooda,1
KM Jadhav,MC Henriques,1
TM Head,Rashid Khan,1
Sachin Baby,Bipul Sharma,1
STR Binny,B Kumar,1
S Aravind,A Nehra,1
TS Mills,B Kumar,1
A Choudhary,BCJ Cutting,1
PA Patel,Imran Tahir,1
RG Sharma,Imran Tahir,1
JC Buttler,Imran Tahir,1
AT Rayudu,R Bhatia,1
KH Pandya,R Bhatia,1
N Rana,A Zampa,1
KA Pollard,BA Stokes,1
HH Pandya,AB Dinda,1
AM Rahane,TG Southee,1
BA Stokes,HH Pandya,1
MP Stoinis,SP Narine,1
HM Amla,C de Grandhomme,1
WP Saha,UT Yadav,1
MM Sharma,CR Woakes,1
VR Aaron,CR Woakes,1
SP Narine,VR Aaron,1
SA Asnodkar,A Kumble,1
J Arunkumar,Sohail Tanvir,1
Misbah-ul-Haq,MM Patel,1
V Kohli,Sohail Tanvir,1
CL White,MM Patel,1
DT Patil,SK Warne,1
P Kumar,SK Warne,1
Z Khan,SK Warne,1
A Kumble,Sohail Tanvir,1
ST Jayasuriya,Y Venugopal Rao,1
SR Tendulkar,Shahid Afridi,1
DJ Thornely,Shahid Afridi,1
RV Uthappa,Y Venugopal Rao,1
AM Nayar,RP Singh,1
PR Shah,RP Singh,1
Shahid Afridi,DJ Bravo,1
AC Gilchrist,CRD Fernando,1
RG Sharma,CRD Fernando,1
LPC Silva,AM Nayar,1
Y Venugopal Rao,DJ Bravo,1
DB Ravi Teja,DJ Bravo,1
H Das,CRD Fernando,1
Mohammad Hafeez,M Ntini,1
SC Ganguly,M Ntini,1
DB Das,M Ntini,1
DJ Hussey,M Ntini,1
Salman Butt,L Balaji,1
B Chipli,GD McGrath,1
JH Kallis,MF Maharoof,1
R Dravid,TM Dilshan,1
SP Goswami,MF Maharoof,1
G Gambhir,B Akhil,1
TM Dilshan,A Kumble,1
KD Karthik,A Kumble,1
Mohammad Hafeez,MM Patel,1
Salman Butt,MM Patel,1
DJ Hussey,YK Pathan,1
LR Shukla,Sohail Tanvir,1
SA Asnodkar,I Sharma,1
Sohail Tanvir,Umar Gul,1
GC Smith,Umar Gul,1
SR Watson,SC Ganguly,1
JR Hopes,SM Pollock,1
SE Marsh,SD Chitnis,1
Yuvraj Singh,SD Chitnis,1
DPMD Jayawardene,CRD Fernando,1
ST Jayasuriya,S Sreesanth,1
AM Nayar,PP Chawla,1
SM Pollock,Yuvraj Singh,1
PR Shah,S Sreesanth,1
SD Chitnis,VRV Singh,1
CRD Fernando,VRV Singh,1
VS Yeligati,VRV Singh,1
SP Goswami,MS Gony,1
Misbah-ul-Haq,L Balaji,1
MV Boucher,JA Morkel,1
R Dravid,JA Morkel,1
P Kumar,JA Morkel,1
R Vinay Kumar,JA Morkel,1
PA Patel,A Kumble,1
MS Dhoni,R Vinay Kumar,1
SP Fleming,A Kumble,1
S Vidyut,DW Steyn,1
MS Gony,P Kumar,1
L Balaji,DW Steyn,1
HH Gibbs,Gagandeep Singh,1
RG Sharma,VRV Singh,1
Y Venugopal Rao,S Sreesanth,1
KC Sangakkara,RG Sharma,1
Yuvraj Singh,PP Ojha,1
SE Marsh,SB Styris,1
LA Pomersbach,PP Ojha,1
SR Tendulkar,VY Mahesh,1
DR Smith,VY Mahesh,1
ST Jayasuriya,A Mishra,1
AM Nayar,B Geeves,1
SM Pollock,MF Maharoof,1
SD Chitnis,VY Mahesh,1
PR Shah,VY Mahesh,1
RV Uthappa,VY Mahesh,1
G Gambhir,A Nel,1
S Dhawan,DR Smith,1
TM Dilshan,DR Smith,1
KD Karthik,SM Pollock,1
M Kaif,JA Morkel,1
T Kohli,M Ntini,1
SP Fleming,YK Pathan,1
MS Dhoni,Sohail Tanvir,1
S Badrinath,MM Patel,1
A Mukund,Sohail Tanvir,1
CH Gayle,HH Pandya,1
P Negi,JJ Bumrah,1
Mandeep Singh,MJ McClenaghan,1
JC Buttler,STR Binny,1
PA Patel,S Badree,1
MJ McClenaghan,S Badree,1
RG Sharma,S Badree,1
N Rana,S Badree,1
B Chipli,RP Singh,1
W Jaffer,PP Ojha,1
Misbah-ul-Haq,Shahid Afridi,1
P Kumar,SB Styris,1
RG Sharma,JH Kallis,1
Shahid Afridi,P Kumar,1
VVS Laxman,P Kumar,1
SB Styris,Z Khan,1
JR Hopes,Umar Gul,1
SE Marsh,BAW Mendis,1
IK Pathan,Umar Gul,1
PP Chawla,Umar Gul,1
Salman Butt,S Sreesanth,1
A Chopra,JR Hopes,1
Umar Gul,VRV Singh,1
ST Jayasuriya,SK Trivedi,1
SR Tendulkar,SK Trivedi,1
AM Nayar,Sohail Tanvir,1
SM Pollock,Sohail Tanvir,1
MK Pandey,Sohail Tanvir,1
DR Smith,Sohail Tanvir,1
SA Asnodkar,A Nehra,1
YK Pathan,CRD Fernando,1
SA Asnodkar,CRD Fernando,1
HH Gibbs,M Ntini,1
AC Gilchrist,MS Gony,1
SB Styris,M Muralitharan,1
DB Ravi Teja,JA Morkel,1
Y Venugopal Rao,JA Morkel,1
AS Yadav,JA Morkel,1
Shahid Afridi,L Balaji,1
RP Singh,L Balaji,1
SP Fleming,DP Vijaykumar,1
PA Patel,PM Sarvesh Kumar,1
SA Asnodkar,MF Maharoof,1
Sohail Tanvir,MF Maharoof,1
RA Jadeja,VY Mahesh,1
SK Warne,VY Mahesh,1
M Rawat,Mohammad Asif,1
YK Pathan,Mohammad Asif,1
KD Karthik,SK Trivedi,1
MF Maharoof,SK Warne,1
A Mishra,MM Patel,1
VY Mahesh,MM Patel,1
Mohammad Asif,RA Jadeja,1
JR Hopes,M Ntini,1
KC Sangakkara,MS Gony,1
Yuvraj Singh,MS Gony,1
SE Marsh,M Ntini,1
DPMD Jayawardene,MS Gony,1
PP Chawla,M Muralitharan,1
WA Mota,JA Morkel,1
S Vidyut,IK Pathan,1
S Vidyut,YK Pathan,1
JA Morkel,YK Pathan,1
CK Kapugedera,Sohail Tanvir,1
Niraj Patel,MS Gony,1
Kamran Akmal,JA Morkel,1
SR Watson,M Muralitharan,1
RA Jadeja,JA Morkel,1
SK Warne,JA Morkel,1
ST Jayasuriya,T Thushara,1
S Dhawan,MS Gony,1
JP Duminy,MS Gony,1
AM Nayar,JDP Oram,1
Harbhajan Singh,JDP Oram,1
Z Khan,A Flintoff,1
A Flintoff,Harbhajan Singh,1
ML Hayden,ST Jayasuriya,1
JDP Oram,ST Jayasuriya,1
S Badrinath,SL Malinga,1
JD Ryder,AD Mascarenhas,1
LRPL Taylor,AD Mascarenhas,1
KP Pietersen,T Henderson,1
V Kohli,SK Warne,1
B Akhil,SK Warne,1
P Kumar,MM Patel,1
Niraj Patel,JD Ryder,1
T Henderson,JD Ryder,1
AD Mascarenhas,JD Ryder,1
YK Pathan,A Kumble,1
RA Jadeja,A Kumble,1
MM Patel,A Kumble,1
Kamran Khan,A Kumble,1
K Goel,VY Mahesh,1
RS Bopara,DL Vettori,1
KC Sangakkara,DL Vettori,1
Yuvraj Singh,DL Vettori,1
IK Pathan,DL Vettori,1
IK Pathan,AM Salvi,1
RA Tripathi,AJ Tye,1
SPD Smith,DR Smith,1
BA Stokes,AJ Tye,1
Ankit Sharma,AJ Tye,1
MK Tiwary,AJ Tye,1
SN Thakur,AJ Tye,1
DR Smith,SN Thakur,1
BB McCullum,RD Chahar,1
CH Gayle,RP Singh,1
SC Ganguly,Harmeet Singh,1
A Chopra,PP Ojha,1
LR Shukla,PP Ojha,1
BJ Hodge,SB Styris,1
MC Henriques,SB Styris,1
AB Agarkar,RP Singh,1
I Sharma,RP Singh,1
AB Dinda,RP Singh,1
PA Patel,KP Pietersen,1
MS Dhoni,P Kumar,1
P Kumar,MS Gony,1
LRPL Taylor,A Flintoff,1
KP Pietersen,M Muralitharan,1
V Kohli,Joginder Sharma,1
R Bishnoi,M Muralitharan,1
R Vinay Kumar,L Balaji,1
DW Steyn,M Muralitharan,1
R Dravid,L Balaji,1
K Goel,I Sharma,1
RS Bopara,SC Ganguly,1
KC Sangakkara,LR Shukla,1
Yuvraj Singh,MC Henriques,1
T Kohli,AB Dinda,1
BB McCullum,VS Malik,1
VVS Laxman,JD Ryder,1
AC Gilchrist,KP Pietersen,1
SB Styris,KP Pietersen,1
RG Sharma,DW Steyn,1
DB Ravi Teja,DW Steyn,1
JD Ryder,FH Edwards,1
RV Uthappa,SB Styris,1
KP Pietersen,PP Ojha,1
R Bishnoi,Harmeet Singh,1
KV Sharma,SB Styris,1
MK Tiwary,L Balaji,1
PA Patel,PJ Sangwan,1
MS Dhoni,DL Vettori,1
A Flintoff,A Nehra,1
MS Gony,DL Vettori,1
Joginder Sharma,DP Nannes,1
JA Morkel,DP Nannes,1
PC Valthaty,Anureet Singh,1
RJ Quiney,I Sharma,1
GC Smith,BAW Mendis,1
YK Pathan,BAW Mendis,1
AD Mascarenhas,Anureet Singh,1
BB McCullum,AD Mascarenhas,1
CH Gayle,SK Warne,1
LR Shukla,Kamran Khan,1
BJ Hodge,MM Patel,1
SB Bangar,Kamran Khan,1
Yashpal Singh,SK Warne,1
SC Ganguly,Kamran Khan,1
I Sharma,Kamran Khan,1
JD Ryder,YA Abdulla,1
KP Pietersen,YA Abdulla,1
R Dravid,PP Chawla,1
JH Kallis,YA Abdulla,1
V Kohli,VRV Singh,1
LRPL Taylor,YA Abdulla,1
P Kumar,IK Pathan,1
Pankaj Singh,IK Pathan,1
K Goel,JH Kallis,1
RS Bopara,JH Kallis,1
VVS Laxman,DJ Bravo,1
RP Singh,Harbhajan Singh,1
FH Edwards,SL Malinga,1
SR Tendulkar,PP Ojha,1
JP Duminy,PP Ojha,1
AM Nayar,FH Edwards,1
DJ Bravo,FH Edwards,1
Harbhajan Singh,RP Singh,1
JH Kallis,DP Nannes,1
KP Pietersen,DL Vettori,1
LRPL Taylor,A Mishra,1
B Akhil,A Nehra,1
V Sehwag,Pankaj Singh,1
G Gambhir,Pankaj Singh,1
AB de Villiers,KP Appanna,1
KD Karthik,B Akhil,1
IK Pathan,Kamran Khan,1
KC Sangakkara,Kamran Khan,1
SA Asnodkar,IK Pathan,1
GC Smith,IK Pathan,1
RJ Quiney,YA Abdulla,1
AD Mascarenhas,YA Abdulla,1
AS Raut,PP Chawla,1
RA Jadeja,YA Abdulla,1
SP Narine,B Kumar,1
G Gambhir,Rashid Khan,1
RV Uthappa,BCJ Cutting,1
SA Yadav,A Nehra,1
C de Grandhomme,B Kumar,1
S Dhawan,YK Pathan,1
MC Henriques,CR Woakes,1
DJ Hooda,SP Narine,1
Yuvraj Singh,CR Woakes,1
BCJ Cutting,TA Boult,1
PA Patel,FH Edwards,1
SK Raina,RG Sharma,1
ML Hayden,PP Ojha,1
JA Morkel,Y Venugopal Rao,1
AC Gilchrist,SK Raina,1
VVS Laxman,SK Raina,1
SR Tendulkar,LR Shukla,1
Harbhajan Singh,BJ Hodge,1
ST Jayasuriya,LR Shukla,1
AM Nayar,BAW Mendis,1
DJ Bravo,LR Shukla,1
S Dhawan,I Sharma,1
BJ Hodge,AM Nayar,1
SC Ganguly,AM Nayar,1
AN Ghosh,AM Nayar,1
Yashpal Singh,DJ Bravo,1
BAW Mendis,SL Malinga,1
V Sehwag,AD Mascarenhas,1
KD Karthik,SK Warne,1
DL Vettori,MM Patel,1
A Mishra,Kamran Khan,1
SA Asnodkar,PJ Sangwan,1
BB McCullum,KP Pietersen,1
BJ Hodge,A Kumble,1
CH Gayle,KP Appanna,1
WP Saha,A Kumble,1
LR Shukla,RE van der Merwe,1
SP Goswami,BJ Hodge,1
V Kohli,BJ Hodge,1
KP Pietersen,BJ Hodge,1
RE van der Merwe,I Sharma,1
K Goel,Harbhajan Singh,1
DPMD Jayawardene,ST Jayasuriya,1
WA Mota,SL Malinga,1
ST Jayasuriya,IK Pathan,1
SR Tendulkar,VS Malik,1
S Dhawan,YA Abdulla,1
DJ Bravo,RR Powar,1
Harbhajan Singh,PP Chawla,1
JP Duminy,YA Abdulla,1
HH Gibbs,DP Nannes,1
AA Bilakhia,DL Vettori,1
DR Smith,A Nehra,1
Shoaib Ahmed,DP Nannes,1
PP Ojha,A Nehra,1
V Sehwag,RP Singh,1
AB de Villiers,Shoaib Ahmed,1
G Gambhir,Shoaib Ahmed,1
S Badrinath,SK Warne,1
JDP Oram,MM Patel,1
GC Smith,JA Morkel,1
RJ Quiney,SK Raina,1
YK Pathan,L Balaji,1
AD Mascarenhas,JDP Oram,1
SK Warne,L Balaji,1
MM Patel,JDP Oram,1
SK Trivedi,L Balaji,1
ST Jayasuriya,AB Dinda,1
Harbhajan Singh,M Kartik,1
SR Tendulkar,AB Agarkar,1
AM Nayar,BJ Hodge,1
GR Napier,CH Gayle,1
AM Rahane,I Sharma,1
MN van Wyk,GR Napier,1
BB McCullum,AM Nayar,1
R Bishnoi,YA Abdulla,1
SP Goswami,YA Abdulla,1
JH Kallis,Yuvraj Singh,1
MV Boucher,Yuvraj Singh,1
RE van der Merwe,YA Abdulla,1
A Kumble,YA Abdulla,1
Yuvraj Singh,A Kumble,1
K Goel,RE van der Merwe,1
KC Sangakkara,JD Ryder,1
PP Chawla,P Kumar,1
HH Gibbs,YK Pathan,1
AA Bilakhia,SM Harwood,1
AC Gilchrist,RA Jadeja,1
DR Smith,SM Harwood,1
GC Smith,FH Edwards,1
SA Asnodkar,FH Edwards,1
RA Jadeja,Y Venugopal Rao,1
LA Carseldine,Y Venugopal Rao,1
SK Warne,PP Ojha,1
YK Pathan,RP Singh,1
SV Samson,KC Cariappa,1
KK Nair,VR Aaron,1
SS Iyer,MM Sharma,1
SW Billings,AR Patel,1
RR Pant,VR Aaron,1
CH Morris,Sandeep Sharma,1
M Vohra,S Nadeem,1
WP Saha,S Nadeem,1
HM Amla,CH Morris,1
EJG Morgan,PJ Cummins,1
DA Miller,CJ Anderson,1
MM Sharma,PJ Cummins,1
KC Cariappa,CH Morris,1
AR Patel,CH Morris,1
S Badrinath,R Bhatia,1
JA Morkel,A Nehra,1
JDP Oram,DP Nannes,1
L Balaji,A Nehra,1
SB Jakati,DP Nannes,1
M Muralitharan,DP Nannes,1
G Gambhir,S Tyagi,1
AB de Villiers,S Tyagi,1
TM Dilshan,SB Jakati,1
DA Warner,SB Jakati,1
M Manhas,M Muralitharan,1
PJ Sangwan,SB Jakati,1
R Bhatia,JA Morkel,1
CH Gayle,YA Abdulla,1
SC Ganguly,PP Chawla,1
KC Sangakkara,I Sharma,1
S Sohal,AB Agarkar,1
SM Katich,BJ Hodge,1
Yuvraj Singh,I Sharma,1
SR Tendulkar,D du Preez,1
AM Rahane,D du Preez,1
JP Duminy,D du Preez,1
W Jaffer,Z Khan,1
ML Hayden,Shoaib Ahmed,1
M Vijay,TL Suman,1
SK Raina,RP Singh,1
HH Gibbs,S Tyagi,1
VVS Laxman,JA Morkel,1
RG Sharma,SB Jakati,1
Y Venugopal Rao,SB Jakati,1
RJ Harris,SB Jakati,1
RP Singh,M Muralitharan,1
TL Suman,M Muralitharan,1
GC Smith,RR Powar,1
S Sohal,A Singh,1
K Goel,A Singh,1
SM Katich,SK Trivedi,1
KC Sangakkara,YK Pathan,1
DPMD Jayawardene,SM Harwood,1
IK Pathan,SK Warne,1
PP Chawla,SK Warne,1
Yuvraj Singh,A Singh,1
BB McCullum,PJ Sangwan,1
BJ Hodge,PJ Sangwan,1
MN van Wyk,A Nehra,1
DA Warner,AB Agarkar,1
HH Gibbs,DS Kulkarni,1
TL Suman,DJ Bravo,1
AC Gilchrist,RR Raje,1
RG Sharma,SL Malinga,1
PR Shah,TL Suman,1
DJ Bravo,TL Suman,1
AM Nayar,RG Sharma,1
Harbhajan Singh,RG Sharma,1
JP Duminy,RG Sharma,1
SS Tiwary,RG Sharma,1
W Jaffer,A Singh,1
R Dravid,LA Carseldine,1
MV Boucher,RA Jadeja,1
RE van der Merwe,A Singh,1
P Kumar,M Morkel,1
D du Preez,A Singh,1
GC Smith,JH Kallis,1
LA Carseldine,A Kumble,1
YK Pathan,D du Preez,1
S Badrinath,IK Pathan,1
ML Hayden,S Sreesanth,1
S Sohal,JA Morkel,1
K Goel,SB Jakati,1
SM Katich,L Balaji,1
L Ronchi,DP Nannes,1
PR Shah,R Bhatia,1
DJ Bravo,DP Nannes,1
Harbhajan Singh,A Nehra,1
RR Raje,R Bhatia,1
AM Rahane,R Bhatia,1
DS Kulkarni,R Bhatia,1
DR Smith,MJ McClenaghan,1
Ishan Kishan,MJ McClenaghan,1
N Rana,AJ Tye,1
JC Buttler,MM Patel,1
KA Pollard,AJ Tye,1
TL Suman,WA Mota,1
RG Sharma,B Lee,1
Y Venugopal Rao,IK Pathan,1
S Sohal,RG Sharma,1
SM Katich,RG Sharma,1
KC Sangakkara,Shoaib Ahmed,1
Yuvraj Singh,Shoaib Ahmed,1
IK Pathan,TL Suman,1
DPMD Jayawardene,TL Suman,1
DPMD Jayawardene,PP Ojha,1
SA Asnodkar,M Muralitharan,1
GC Smith,M Muralitharan,1
AS Raut,SK Raina,1
AS Raut,SB Jakati,1
ML Hayden,SK Warne,1
V Kohli,C Nanda,1
LRPL Taylor,Harbhajan Singh,1
RE van der Merwe,Harbhajan Singh,1
R Vinay Kumar,Harbhajan Singh,1
BB McCullum,A Nehra,1
MN van Wyk,DP Nannes,1
Yashpal Singh,A Mishra,1
MC Henriques,A Mishra,1
AB Agarkar,PJ Sangwan,1
DA Warner,I Sharma,1
TL Suman,SK Trivedi,1
A Symonds,RA Jadeja,1
WPUJC Vaas,YK Pathan,1
Y Venugopal Rao,SK Warne,1
DR Smith,YK Pathan,1
GC Smith,WPUJC Vaas,1
LA Carseldine,WPUJC Vaas,1
SA Asnodkar,RG Sharma,1
AS Raut,RG Sharma,1
M Morkel,RG Sharma,1
SK Warne,RG Sharma,1
SK Trivedi,RP Singh,1
MM Patel,PP Ojha,1
AN Ghosh,R Vinay Kumar,1
DJ Hussey,B Akhil,1
AD Mathews,A Kumble,1
JH Kallis,M Kartik,1
JD Ryder,AB Agarkar,1
R Dravid,BAW Mendis,1
SM Katich,DS Kulkarni,1
WA Mota,JP Duminy,1
LA Pomersbach,AM Rahane,1
B Lee,SL Malinga,1
AM Rahane,PP Chawla,1
DA Warner,WPUJC Vaas,1
TM Dilshan,A Symonds,1
AB de Villiers,DR Smith,1
R Bhatia,PP Ojha,1
A Mishra,WPUJC Vaas,1
RG Sharma,PJ Sangwan,1
AC Gilchrist,PJ Sangwan,1
DB Ravi Teja,DP Nannes,1
A Symonds,R Bhatia,1
DR Smith,R Bhatia,1
RP Singh,A Nehra,1
PP Ojha,R Bhatia,1
Shoaib Ahmed,R Bhatia,1
JA Morkel,P Kumar,1
L Balaji,R Vinay Kumar,1
M Muralitharan,P Kumar,1
SB Jakati,P Kumar,1
R Dravid,S Tyagi,1
MV Boucher,M Muralitharan,1
RE van der Merwe,L Balaji,1
LRPL Taylor,JDP Oram,1
GC Smith,Harbhajan Singh,1
YK Pathan,C Nanda,1
RJ Quiney,SL Malinga,1
SD Chitnis,DJ Bravo,1
RA Jadeja,ST Jayasuriya,1
NV Ojha,ST Jayasuriya,1
J Botha,ST Jayasuriya,1
DJ Bravo,MM Patel,1
AM Rahane,SK Warne,1
YV Takawale,SK Trivedi,1
ST Jayasuriya,SK Warne,1
SR Tendulkar,SK Warne,1
AM Nayar,J Botha,1
DS Kulkarni,MM Patel,1
C Nanda,MM Patel,1
SL Malinga,MM Patel,1
SPD Smith,S Aravind,1
DT Christian,S Aravind,1
BA Stokes,AF Milne,1
SN Thakur,AF Milne,1
MK Tiwary,AF Milne,1
Mandeep Singh,SN Thakur,1
V Kohli,BA Stokes,1
AB de Villiers,Imran Tahir,1
SR Watson,BA Stokes,1
P Negi,SN Thakur,1
STR Binny,SN Thakur,1
S Badree,JD Unadkat,1
AF Milne,BA Stokes,1
V Sehwag,B Lee,1
M Manhas,WA Mota,1
MF Maharoof,B Lee,1
DL Vettori,IK Pathan,1
R Bhatia,B Lee,1
SM Katich,MF Maharoof,1
S Sohal,A Nehra,1
LA Pomersbach,MF Maharoof,1
Yuvraj Singh,PJ Sangwan,1
DJ Bravo,JA Morkel,1
ST Jayasuriya,S Tyagi,1
SR Tendulkar,SK Raina,1
AM Nayar,JA Morkel,1
Harbhajan Singh,JA Morkel,1
S Badrinath,DS Kulkarni,1
BB McCullum,RJ Harris,1
SC Ganguly,RG Sharma,1
WP Saha,A Symonds,1
DJ Hussey,A Symonds,1
HH Gibbs,M Kartik,1
A Symonds,Mashrafe Mortaza,1
Yuvraj Singh,Y Venugopal Rao,1
WA Mota,TL Suman,1
KC Sangakkara,RP Singh,1
IK Pathan,RP Singh,1
TL Suman,RR Powar,1
RP Singh,IK Pathan,1
TM Dilshan,J Botha,1
