name,mat,inn,NO,Runs,Hs,AVG,bf,sr,hun,fif
VR Aaron,6,1,0,6,6,6.00,3,200.00,0,0
SA Abbott,2,2,0,15,14,7.50,13,115.38,0,0
MA Agarwal,10,10,1,213,68,23.66,177,120.33,0,2
AN Ahmed,3,3,2,10,5,10.00,5,200.00,0,0
CJ Anderson,4,4,1,114,55,38.00,97,117.52,0,2
Ankit Sharma,4,2,1,7,7,7.00,6,116.66,0,0
Anureet Singh,14,6,3,18,10,6.00,31,58.06,0,0
S Aravind,5,1,1,0,0,0,1,0.00,0,0
A Ashish Reddy,6,5,2,73,22,24.33,46,158.69,0,0
R Ashwin,14,6,3,52,23,17.33,32,162.50,0,0
Azhar Mahmood,1,1,0,6,6,6.00,7,85.71,0,0
GJ Bailey,13,13,2,259,61,23.54,190,136.31,0,2
R Bhatia,2,1,0,0,0,0.00,1,0.00,0,0
STR Binny,13,8,4,74,20,18.50,66,112.12,0,0
Bipul Sharma,4,1,0,1,1,1.00,2,50.00,0,0
MS Bisla,2,2,0,37,20,18.50,30,123.33,0,0
RS Bopara,9,8,3,145,41,29.00,120,120.83,0,0
J Botha,4,3,0,31,17,10.33,15,206.66,0,0
TA Boult,7,0,0,0,0,0,0,0,0,0
DJ Bravo,17,14,5,195,62,21.66,148,131.75,0,1
JJ Bumrah,4,1,1,0,0,0,0,0,0,0
KC Cariappa,1,0,0,0,0,0,0,0,0,0
YS Chahal,15,2,2,1,1,0,1,100.00,0,0
UBT Chand,6,5,0,102,58,20.40,83,122.89,0,1
PP Chawla,13,8,4,54,22,13.50,47,114.89,0,0
NM Coulter-Nile,11,5,1,20,6,5.00,18,111.11,0,0
PJ Cummins,3,1,0,0,0,0.00,2,0.00,0,0
Q de Kock,3,3,0,122,69,40.66,77,158.44,0,2
M de Lange,1,0,0,0,0,0,0,0,0,0
AB de Villiers,16,14,3,513,133,46.63,293,175.08,1,2
R Dhawan,5,5,3,36,25,18.00,33,109.09,0,0
S Dhawan,14,14,1,353,54,27.15,286,123.42,0,3
MS Dhoni,17,17,5,372,53,31.00,305,121.96,0,1
AB Dinda,2,0,0,0,0,0,0,0,0,0
JP Duminy,14,13,3,414,78,41.40,315,131.42,0,4
F du Plessis,17,15,2,380,55,29.23,304,125.00,0,1
JP Faulkner,13,11,3,144,46,18.00,109,132.11,0,0
AJ Finch,3,3,1,23,10,11.50,33,69.69,0,0
G Gambhir,13,13,0,327,60,25.15,278,117.62,0,3
CM Gautam,1,1,0,4,4,4.00,5,80.00,0,0
CH Gayle,14,14,2,491,117,40.91,333,147.44,1,2
S Gopal,1,1,1,1,1,0,1,100.00,0,0
Gurkeerat Singh,5,5,0,35,15,7.00,39,89.74,0,0
Harbhajan Singh,15,10,3,117,64,16.71,73,160.27,0,1
BE Hendricks,4,2,2,1,1,0,2,50.00,0,0
MC Henriques,9,9,2,287,74,41.00,211,136.01,0,2
GB Hogg,6,2,1,7,5,7.00,6,116.66,0,0
DJ Hooda,14,9,0,151,54,16.77,95,158.94,0,1
MEK Hussey,4,4,0,77,56,19.25,70,110.00,0,1
Imran Tahir,10,2,1,5,3,5.00,6,83.33,0,0
Iqbal Abdulla,5,2,0,20,20,10.00,18,111.11,0,0
SS Iyer,14,14,1,439,83,33.76,342,128.36,0,4
RA Jadeja,17,12,5,132,24,18.85,126,104.76,0,0
KM Jadhav,14,12,4,189,63,23.62,140,135.00,0,1
MG Johnson,9,8,4,31,13,7.75,36,86.11,0,0
Karanveer Singh,4,3,2,11,5,11.00,16,68.75,0,0
KD Karthik,16,11,0,141,28,12.81,117,120.51,0,0
SN Khan,13,8,4,111,45,27.75,71,156.33,0,0
Z Khan,7,0,0,0,0,0,0,0,0,0
V Kohli,16,16,5,505,82,45.90,386,130.82,0,3
DS Kulkarni,11,2,0,4,3,2.00,11,36.36,0,0
B Kumar,14,3,2,17,11,17.00,10,170.00,0,0
P Kumar,12,4,1,17,12,5.66,25,68.00,0,0
MJ McClenaghan,12,3,2,13,12,13.00,6,216.66,0,0
BB McCullum,14,14,1,436,100,33.53,280,155.71,1,2
NJ Maddinson,1,1,0,4,4,4.00,7,57.14,0,0
SL Malinga,15,1,1,6,6,0,10,60.00,0,0
Mandeep Singh,14,9,2,157,54,22.42,100,157.00,0,1
SE Marsh,4,4,0,81,65,20.25,58,139.65,0,1
AD Mathews,11,10,3,144,28,20.57,104,138.46,0,0
GJ Maxwell,11,11,0,145,43,13.18,112,129.46,0,0
DA Miller,13,13,2,357,89,32.45,266,134.21,0,2
A Mishra,12,4,2,8,4,4.00,12,66.66,0,0
RG More,2,1,1,2,2,0,2,100.00,0,0
EJG Morgan,9,9,1,187,63,23.37,151,123.84,0,1
JA Morkel,4,3,2,86,73,86.00,65,132.30,0,1
M Morkel,7,1,1,4,4,0,3,133.33,0,0
CH Morris,11,7,5,76,34,38.00,46,165.21,0,0
DJ Muthuswami,6,2,1,1,1,1.00,3,33.33,0,0
S Nadeem,4,1,0,2,2,2.00,7,28.57,0,0
KK Nair,14,12,1,181,61,16.45,145,124.82,0,1
SP Narine,8,1,1,0,0,0,1,0.00,0,0
P Negi,10,9,1,116,36,14.50,73,158.90,0,0
A Nehra,16,4,3,1,1,1.00,7,14.28,0,0
NV Ojha,14,11,1,137,28,13.70,121,113.22,0,0
PP Ojha,1,0,0,0,0,0,0,0,0,0
IC Pandey,10,0,0,0,0,0,0,0,0,0
MK Pandey,13,12,1,225,40,20.45,184,122.28,0,0
HH Pandya,9,8,3,112,61,22.40,62,180.64,0,1
Parvez Rasool,2,1,1,2,2,0,2,100.00,0,0
AR Patel,14,12,3,206,40,22.88,174,118.39,0,0
HV Patel,15,7,2,19,9,3.80,12,158.33,0,0
PA Patel,14,14,1,339,59,26.07,246,137.80,0,2
YK Pathan,13,12,5,312,52,44.57,231,135.06,0,1
NLTC Perera,2,2,0,12,9,6.00,15,80.00,0,0
KA Pollard,16,14,3,419,70,38.09,256,163.67,0,2
AM Rahane,14,13,2,540,91,49.09,413,130.75,0,4
KL Rahul,9,8,3,142,44,28.40,126,112.69,0,0
SK Raina,17,17,2,374,62,24.93,305,122.62,0,2
AT Rayudu,15,14,5,281,53,31.22,193,145.59,0,1
RR Rossouw,2,2,0,14,14,7.00,10,140.00,0,0
AD Russell,13,11,2,326,66,36.22,169,192.89,0,3
WP Saha,14,13,0,249,42,19.15,197,126.39,0,0
DJG Sammy,2,2,0,13,7,6.50,18,72.22,0,0
SV Samson,14,11,1,204,76,20.40,163,125.15,0,1
Sandeep Sharma,14,3,2,9,7,9.00,14,64.28,0,0
GS Sandhu,3,0,0,0,0,0,0,0,0,0
V Sehwag,8,8,0,99,47,12.37,84,117.85,0,0
Shakib Al Hasan,4,3,0,36,23,12.00,27,133.33,0,0
I Sharma,4,0,0,0,0,0,0,0,0,0
KV Sharma,14,9,3,104,32,17.33,85,122.35,0,0
MM Sharma,16,6,3,28,21,9.33,18,155.55,0,0
RG Sharma,16,16,2,482,98,34.42,333,144.74,0,3
Shivam Sharma,1,0,0,0,0,0,0,0,0,0
LMP Simmons,13,13,1,540,71,45.00,441,122.44,0,6
DR Smith,16,16,0,399,62,24.93,335,119.10,0,2
SPD Smith,14,12,1,293,79,26.63,221,132.57,0,2
TG Southee,7,3,2,13,7,13.00,9,144.44,0,0
BB Sran,1,0,0,0,0,0,0,0,0,0
MA Starc,13,3,2,11,9,11.00,14,78.57,0,0
DW Steyn,6,3,2,20,19,20.00,13,153.84,0,0
J Suchith,13,6,5,48,34,48.00,32,150.00,0,0
P Suyal,3,0,0,0,0,0,0,0,0,0
PV Tambe,10,2,2,3,2,0,5,60.00,0,0
AP Tare,2,2,0,14,7,7.00,17,82.35,0,0
RN ten Doeschate,6,5,2,61,38,20.33,45,135.55,0,0
R Tewatia,1,0,0,0,0,0,0,0,0,0
SN Thakur,1,1,1,7,7,0,6,116.66,0,0
J Theron,1,1,1,1,1,0,1,100.00,0,0
MK Tiwary,5,3,1,57,32,28.50,56,101.78,0,0
SS Tiwary,7,6,6,109,28,0,78,139.74,0,0
JD Unadkat,1,0,0,0,0,0,0,0,0,0
RV Uthappa,13,13,1,364,80,30.33,277,131.40,0,1
GH Vihari,5,4,0,39,16,9.75,35,111.42,0,0
M Vijay,11,11,0,251,39,22.81,228,110.08,0,0
R Vinay Kumar,13,3,2,0,0,0.00,2,0.00,0,0
M Vohra,7,7,0,82,39,11.71,81,101.23,0,0
DA Warner,14,14,1,562,91,43.23,359,156.54,0,7
SR Watson,10,9,1,347,104,43.37,257,135.01,1,1
D Wiese,14,7,3,122,47,30.50,86,141.86,0,0
KS Williamson,2,2,1,31,26,31.00,27,114.81,0,0
J Yadav,3,0,0,0,0,0,0,0,0,0
SA Yadav,13,13,4,157,46,17.44,113,138.93,0,0
UT Yadav,12,4,3,29,24,29.00,14,207.14,0,0
Yuvraj Singh,14,13,0,248,57,19.07,210,118.09,0,2
